,timestamp,T1,T1_Rad,Toutdoor,CoolingPower,HeatingPower,FanPower,PumpPower,TotalHVACPower,TotalHVACEnergy,HeatingSetpoint,CoolingSetpoint,FanControlInput,u_CoolingSetpoint,u_HeatingSetpoint,u_FanOverride,PMV,PPD,Reward
2019-01-02 05:35:00,2019-01-02 05:35:00,20.866306053218068,16.372292272266066,0.0,0.0,3781.2429392869667,38.010031281300314,0.0,3819.252970568267,63964682.75344539,21.0,25.0,0.39061426113678976,25.0,21.0,0.39061426113678976,0.0,0.0,-3.8192529705682667
2019-01-02 05:40:00,2019-01-02 05:40:00,20.88808403417812,16.36970496255657,0.0,0.0,3165.3000434470864,58.11543367346943,0.0,3223.415477120556,64938737.55929096,21.0,25.0,0.45,25.0,21.0,0.45,0.0,0.0,-3.2234154771205557
2019-01-02 05:45:00,2019-01-02 05:45:00,20.86667152820604,16.366227540915588,0.0,0.0,3770.9062729604602,38.329593694251756,0.0,3809.235866654712,66014962.56804098,21.0,25.0,0.39170588037657694,25.0,21.0,0.39170588037657694,0.0,0.0,-3.809235866654712
2019-01-02 05:50:00,2019-01-02 05:50:00,20.887978342688825,16.36456444983935,0.0,0.0,3168.289297689791,58.11543367346943,0.0,3226.4047313632605,66990739.49885636,21.0,25.0,0.45,25.0,21.0,0.45,0.0,0.0,-3.2264047313632607
2019-01-02 05:55:00,2019-01-02 05:55:00,20.86672487773876,16.36199272256573,0.0,0.0,3769.39739728756,38.43828968277357,0.0,3807.835686970334,68067311.25407009,21.0,25.0,0.3920758005891116,25.0,21.0,0.3920758005891116,0.0,0.0,-3.807835686970334
2019-01-02 06:00:00,2019-01-02 06:00:00,20.887879920377316,16.360795714342544,0.010046666666653437,0.0,3171.0729590254186,58.11543367346943,0.0,3229.188392698888,69043811.12536763,21.0,25.0,0.45,25.0,21.0,0.45,0.0,0.0,-3.2291883926988882
2019-01-02 06:05:00,2019-01-02 06:05:00,20.86722660729174,16.359053870092964,0.11633416666666108,0.0,3755.2070664962157,38.53969445471269,0.0,3793.7467609509285,70118856.08977994,21.0,25.0,0.39242027867939555,25.0,21.0,0.39242027867939555,0.0,0.0,-3.7937467609509286
2019-01-02 06:10:00,2019-01-02 06:10:00,20.888977614576618,16.360697609599754,0.3220800000000281,0.0,3140.027062479499,58.11543367346943,0.0,3198.1424961529683,71089340.02401786,21.0,25.0,0.45,25.0,21.0,0.45,0.0,0.0,-3.1981424961529683
2019-01-02 06:15:00,2019-01-02 06:15:00,20.86790749347199,16.363991433547767,0.6066591666666454,0.0,3735.949679580102,37.4187898241825,0.0,3773.3684694042845,72153141.87587936,21.0,25.0,0.38857834898183796,25.0,21.0,0.38857834898183796,0.0,0.0,-3.7733684694042844
2019-01-02 06:20:00,2019-01-02 06:20:00,20.89182217941135,16.372052243388566,0.9494466666666881,0.0,3059.574723719416,58.11543367346943,0.0,3117.6901573928853,73101227.26580822,21.0,25.0,0.45,25.0,21.0,0.45,0.0,0.0,-3.1176901573928855
