,timestamp,T1,Toutdoor,CoolingPower,HeatingPower,FanPower,PumpPower,TotalHVACEnergy,HeatingSetpoint,CoolingSetpoint,FanControlInput,u_CoolingSetpoint,u_HeatingSetpoint,u_FanOverride,PMV,PPD
2019-01-01 03:30:00,2019-01-01 03:30:00,21.992379772186382,2.5553340681951795,0.0,215.52159472858793,17.832175972854486,0.0,39323941.950183734,22.0,23.0,0.3035173114056225,25.0,21.0,0.3035173114056225,0.0,0.0
2019-01-01 03:35:00,2019-01-01 03:35:00,21.829671468841127,2.504611607142863,0.0,4817.372598432769,388.89307529138057,0.0,40346692.541222125,22.0,23.0,0.8479926528566839,25.0,21.0,0.8479926528566839,0.0,0.0
2019-01-01 03:40:00,2019-01-01 03:40:00,21.900922024526892,2.455374485596735,0.0,2802.205366916184,81.40970861439791,0.0,41463442.532338664,22.0,23.0,0.5035092107373217,25.0,21.0,0.5035092107373217,0.0,0.0
2019-01-01 03:45:00,2019-01-01 03:45:00,21.809020717070666,2.4074711383009912,0.0,5401.434264668025,12.70956368689714,0.0,42510978.48370973,22.0,23.0,0.271074612283388,25.0,21.0,0.271074612283388,0.0,0.0
2019-01-01 03:50:00,2019-01-01 03:50:00,21.850246007612668,2.360749999999996,0.0,4235.466451358882,124.91133469718534,0.0,43918661.827985056,22.0,23.0,0.5807411974710361,25.0,21.0,0.5807411974710361,0.0,0.0
2019-01-01 03:55:00,2019-01-01 03:55:00,21.832830640451505,2.3150595054380005,0.0,4728.022290260474,18.55455455630981,0.0,45247967.17127069,22.0,23.0,0.30756166051669953,25.0,21.0,0.30756166051669953,0.0,0.0
2019-01-01 04:00:00,2019-01-01 04:00:00,21.89592154352954,2.2702480893591996,0.0,2943.6331122958636,9.819400432226983,0.0,46337136.76295717,22.0,23.0,0.24853570653181162,25.0,21.0,0.24853570653181162,0.0,0.0
2019-01-01 04:05:00,2019-01-01 04:05:00,21.951666369914392,2.226164186507958,0.0,1367.0117599969967,122.37453158629633,0.0,47083778.85608184,22.0,23.0,0.5767828875846536,25.0,21.0,0.5767828875846536,0.0,0.0
2019-01-01 04:10:00,2019-01-01 04:10:00,21.865842001769238,2.182773280423305,0.0,3794.3676267286264,58.230615676433935,0.0,48138439.27134298,22.0,23.0,0.45029709661693,25.0,21.0,0.45029709661693,0.0,0.0
2019-01-01 04:15:00,2019-01-01 04:15:00,21.826134900547117,2.1409182870370387,0.0,4917.396752202739,10.01296292382591,0.0,49198256.304756165,22.0,23.0,0.2501818265655843,25.0,21.0,0.2501818265655843,0.0,0.0
2019-01-01 04:20:00,2019-01-01 04:20:00,21.855192929536372,2.100457142857124,0.0,4095.553508062205,78.99548995634922,0.0,50484662.63516561,22.0,23.0,0.49848196681684137,25.0,21.0,0.49848196681684137,0.0,0.0
2019-01-01 04:25:00,2019-01-01 04:25:00,21.797508289887446,2.060968220899497,0.0,5727.038265809604,120.75193488901756,0.0,52164104.56093837,22.0,23.0,0.5742222972240226,25.0,21.0,0.5742222972240226,0.0,0.0
2019-01-01 04:30:00,2019-01-01 04:30:00,21.88157054313575,2.022029894179923,0.0,3349.519992120161,143.79394697791372,0.0,53618253.59019342,22.0,23.0,0.6086424246650981,25.0,21.0,0.6086424246650981,0.0,0.0
2019-01-01 04:35:00,2019-01-01 04:35:00,21.88175627159535,1.9832205357142811,0.0,3344.267065990102,112.81170318588349,0.0,54753030.741776586,22.0,23.0,0.5613495835735389,25.0,21.0,0.5613495835735389,0.0,0.0
