,timestamp,T1,T1_Rad,Toutdoor,CoolingPower,HeatingPower,FanPower,PumpPower,TotalHVACPower,TotalHVACEnergy,HeatingSetpoint,CoolingSetpoint,FanControlInput,u_CoolingSetpoint,u_HeatingSetpoint,u_FanOverride,PMV,PPD,Reward
2019-01-02 06:30:00,2019-01-02 06:30:00,20.809919887559033,14.711020434486443,-12.057925925925929,0.0,5376.003180148556,58.11543367346943,0.0,5434.1186138220255,108836144.80064583,21.0,25.0,0.45,25.0,21.0,0.45,0.0,0.0,-5.434118613822026
2019-01-02 06:35:00,2019-01-02 06:35:00,20.809554634984124,14.696318630819405,-12.090084490740765,0.0,5386.333556004566,58.11543367346943,0.0,5444.448989678036,110467959.49234505,21.0,25.0,0.45,25.0,21.0,0.45,0.0,0.0,-5.444448989678036
2019-01-02 06:40:00,2019-01-02 06:40:00,20.809212188586628,14.682105016488435,-12.118249999999989,0.0,5396.018908661035,58.11543367346943,0.0,5454.134342334505,112102775.55477962,21.0,25.0,0.45,25.0,21.0,0.45,0.0,0.0,-5.4541343423345054
2019-01-02 06:45:00,2019-01-02 06:45:00,20.808891573348262,14.668460285769982,-12.14329050925926,0.0,5405.086814392584,58.11543367346943,0.0,5463.2022480660535,113740401.60150017,21.0,25.0,0.45,25.0,21.0,0.45,0.0,0.0,-5.463202248066054
2019-01-02 06:50:00,2019-01-02 06:50:00,20.80859151593279,14.655454010936865,-12.16607407407406,0.0,5413.573286749383,58.11543367346943,0.0,5471.688720422853,115380663.05990027,21.0,25.0,0.45,25.0,21.0,0.45,0.0,0.0,-5.471688720422853
2019-01-02 06:55:00,2019-01-02 06:55:00,20.808310471012817,14.643145648893494,-12.187468749999994,0.0,5421.522031960736,58.11543367346943,0.0,5479.637465634206,117023415.8303731,21.0,25.0,0.45,25.0,21.0,0.45,0.0,0.0,-5.479637465634206
2019-01-02 07:00:00,2019-01-02 07:00:00,20.808049691984024,14.631568259384949,-12.207494107744083,0.0,5428.897600451838,58.11543367346943,0.0,5487.013034125308,118668475.50176348,21.0,25.0,0.45,25.0,21.0,0.45,0.0,0.0,-5.487013034125308
2019-01-02 07:05:00,2019-01-02 07:05:00,20.80783335670253,14.620738273483767,-12.219479061447828,0.0,5435.016174069828,58.11543367346943,0.0,5493.1316077432975,120315543.22983696,21.0,25.0,0.45,25.0,21.0,0.45,0.0,0.0,-5.4931316077432975
2019-01-02 07:10:00,2019-01-02 07:10:00,20.807658400202342,14.610680684603324,-12.223272727272729,0.0,5439.96443872163,58.11543367346943,0.0,5498.0798723951,121964261.24385722,21.0,25.0,0.45,25.0,21.0,0.45,0.0,0.0,-5.4980798723951
2019-01-02 07:15:00,2019-01-02 07:15:00,20.80752488704735,14.601600321650778,-12.220690130471382,0.0,5443.740568357774,58.11543367346943,0.0,5501.856002031243,123614281.06044187,21.0,25.0,0.45,25.0,21.0,0.45,0.0,0.0,-5.501856002031244
